1434.308,1281.645,348.485,178.649,-56.649,15.684,
1401.907,1281.645,339.485,177.279,-59.889,17.936,
1283.106,1286.444,309.485,169.764,-68.205,25.867,
1239.906,1209.643,237.485,-174.135,-77.194,10.856,
1239.907,1094.443,186.485,-120.073,-71.944,-41.424,
1435.507,1013.443,257.285,-133.646,-53.304,-27.058,
1656.907,1080.642,341.885,-152.356,-39.487,-2.720,
1590.307,1084.843,320.285,-153.595,-43.285,-7.537,
1576.406,1266.142,371.986,-172.479,-46.819,12.991,
1626.107,1411.042,406.987,173.872,-38.243,22.421,
1597.407,1343.142,399.287,179.363,-43.230,20.166,
1484.007,1450.242,385.287,165.032,-48.362,26.191,
1346.806,1445.342,350.287,156.901,-58.975,35.734,
1271.206,1428.542,269.087,156.350,-66.390,34.321,
1215.907,1450.943,269.087,139.209,-67.152,50.627,
1225.006,1176.542,191.386,174.227,-80.821,26.012,
1225.007,1103.042,137.487,-124.808,-77.573,-35.117,
1428.007,1084.843,294.987,-148.447,-57.694,-13.779,
