504.95,68.563,77.152,-172.806,0.309,9.26
505.084,6.883,80.673,172.782,1.027,14.899
517.043,2.057,123.216,-171.257,9.801,7.086
539.646,7.781,114.368,-179.702,-3.823,14.078
531.593,62.05,82.145,172.849,-11.58,11.651
563.848,-66.419,99.602,157.133,0.628,13.941
523.754,-12.634,162.232,164.285,10.635,4.854
516.268,-11.78,130.678,-175.372,12.621,13.826
446.672,32.597,162.98,-170.927,3.108,7.115
459.395,-7.134,158.198,-173.233,-5.906,15.242
451.436,-64.716,163.547,177.811,-5.992,13.101
485.337,-56.019,158.632,169.235,18.613,13.924
477.754,-16.223,152.036,170.732,-3.774,11.402
486.341,-13.715,179.897,177.416,17.618,7.801
501.409,-9.219,177.813,161.195,7.763,17.256
500.171,-30.743,155.817,171.182,-4.57,12.868
496.93,-14.326,151.07,164.057,6.468,9.322
501.924,-4.532,98.001,172.066,-8.148,16.705
