2345.137,-783.442,-273.590,166.319,-75.484,-75.395,
2295.052,-879.635,-230.844,-178.239,-69.742,-91.748,
2293.111,-1027.254,-222.497,-174.328,-55.435,-94.909,
2213.654,-1042.265,-221.798,-166.102,-54.374,-105.279,
2144.048,-1016.148,-233.808,-156.531,-53.503,-111.267,
2392.450,-955.475,-226.453,171.756,-62.043,-78.983,
2516.954,-992.636,-234.424,155.994,-55.547,-64.908,
2542.789,-921.583,-237.176,143.007,-57.941,-51.472,
2446.228,-679.300,-348.023,121.352,-81.473,-30.710,
2483.220,-633.799,-441.747,77.658,-79.314,8.771,
2335.396,-631.824,-443.167,37.327,-87.336,53.356,
2191.610,-634.984,-459.947,-72.182,-79.208,166.213,
2115.538,-656.474,-414.274,-88.214,-73.773,-176.184,
2143.735,-768.458,-328.272,-127.478,-71.700,-137.742,
2241.848,-724.318,-340.589,-129.102,-78.308,-137.258,
2392.786,-750.401,-318.286,141.374,-76.741,-52.139,
2393.102,-869.146,-259.779,167.907,-68.026,-79.552,
2419.074,-963.906,-229.502,169.697,-60.386,-78.815,
